"bandwidth","cpu_delay","distance_delay","ratio","batch_size"
"2500000","0","8192","0.5314661905824593","1"
"750000","0","4096","0.5225225225225225","1"
"2000000","0","4096","0.5150085275724844","1"
"1500000","0","8192","0.5134573177775211","1"
"1000000","0","8192","0.5116412432618419","1"
"2000000","0","1024","0.5090499013250634","1"
"250000","0","8192","0.508410138248848","1"
"2250000","0","4096","0.5080695396115296","1"
"750000","0","2048","0.502163639469339","1"
"2500000","0","4096","0.5014514201149752","1"
"500000","0","1024","0.49803702430077945","1"
"2250000","0","8192","0.49758342922899884","1"
"2500000","0","1024","0.49742085423575094","1"
"1250000","0","4096","0.49658547689506033","1"
"2250000","0","2048","0.49576462615766886","1"
"250000","0","2048","0.49152300897563755","1"
"1750000","0","2048","0.4902260751317355","1"
"500000","0","4096","0.4869643561011318","1"
"1750000","0","4096","0.4837684449489217","1"
"1250000","0","8192","0.48306217963004233","1"
"1000000","0","1024","0.48211098835727034","1"
"1500000","0","1024","0.47522770211206045","1"
"2500000","0","2048","0.4705534598277124","1"
"1000000","0","4096","0.47011929981045825","1"
"750000","0","1024","0.46934250547201456","10"
"1250000","0","512","0.4690222686894119","1"
"1250000","0","1024","0.4689652276163279","1"
"2000000","0","8192","0.4688484030589294","1"
"1750000","0","512","0.46709213635784735","1"
"2250000","0","1024","0.46703953007967847","1"
"1250000","0","2048","0.46153846153846156","1"
"2000000","0","512","0.46076106157321717","1"
"250000","0","4096","0.45984869711403753","1"
"2000000","0","2048","0.45961300483743955","10"
"1500000","0","4096","0.4593459513943331","1"
"2500000","0","256","0.4593007282445417","1"
"1500000","0","2048","0.45930023509887985","1"
"750000","0","8192","0.458272492418286","1"
"1000000","0","2048","0.4578440647782292","1"
"1750000","0","1024","0.4572962895977963","1"
"2500000","0","512","0.45670667672204174","1"
"750000","0","256","0.4540412191366613","1"
"500000","0","2048","0.45292557599867395","1"
"2250000","0","256","0.4493058536775741","1"
"1500000","0","512","0.44889148273413165","1"
"1000000","0","512","0.4460143943035902","1"
"1500000","50","8192","0.44148227139429486","1"
"250000","0","1024","0.4408685482393721","1"
"1750000","0","8192","0.44019510032147213","1"
"2250000","0","512","0.440088186145788","1"
"500000","0","8192","0.4378175392091893","1"
"2000000","0","256","0.4334091278219912","1"
"500000","0","512","0.43257448125908965","10"
"750000","0","512","0.4272891612515966","1"
"1750000","0","256","0.42436802436945115","1"
"1500000","0","256","0.41549726309803087","1"
"250000","50","8192","0.4130174364434979","1"
"1250000","0","256","0.4115365184120064","1"
"2000000","50","8192","0.4075197889182058","1"
"1000000","0","256","0.40418364400526163","1"
"2500000","0","128","0.39685774292092585","10"
"750000","50","8192","0.3965338851526125","1"
"2000000","0","128","0.39538479576731983","10"
"1250000","50","8192","0.3943094712225542","1"
"1750000","50","8192","0.3937059284408462","1"
"2500000","50","8192","0.38949585362643147","1"
"500000","50","8192","0.3885003885003885","1"
"1750000","0","128","0.3851198309577209","10"
"1000000","50","8192","0.3849973863042342","1"
"250000","0","512","0.3791409616404712","10"
"2250000","50","8192","0.3711644627038131","1"
"2250000","0","128","0.36184104916282334","10"
"1250000","50","4096","0.36161676201798054","1"
"750000","50","4096","0.3598419915033167","1"
"1000000","0","128","0.35823249526182555","10"
"500000","0","256","0.35674732554099114","10"
"1250000","0","128","0.3562688492339671","1"
"1000000","100","8192","0.35449262405006704","1"
"2250000","100","8192","0.3517149615612064","1"
"1500000","100","8192","0.3487786824574389","1"
"2250000","50","4096","0.3464905772369788","1"
"2500000","50","4096","0.3462682129051442","1"
"1500000","0","128","0.3459865660799924","1"
"2000000","50","4096","0.34097995545657017","1"
"500000","100","8192","0.33600118571216836","1"
"250000","100","8192","0.33440608543007605","1"
"1000000","50","4096","0.33434515436440365","1"
"1250000","100","8192","0.33298585256887564","1"
"1750000","150","8192","0.3311612364243943","1"
"1750000","100","8192","0.33112582781456956","1"
"2000000","100","8192","0.33001781472684083","1"
"250000","50","4096","0.32649446494464945","1"
"2500000","100","8192","0.32539102470399067","1"
"1500000","50","4096","0.324604671405774","1"
"750000","100","8192","0.3216503992901508","1"
"250000","150","8192","0.31629765273847177","1"
"500000","50","4096","0.3117093262724331","1"
"1500000","150","8192","0.3109593604263824","1"
"500000","150","8192","0.2997184964398079","1"
"750000","150","8192","0.29937561616825503","1"
"2000000","150","8192","0.29735537190082645","1"
"2500000","150","8192","0.2964915170482622","1"
"1750000","0","64","0.29527932569341314","10"
"1000000","150","8192","0.2918848167539267","1"
"2250000","0","64","0.29155482404360356","10"
"1750000","50","4096","0.29045405791919915","1"
"2250000","150","8192","0.28693649226719314","1"
"2000000","0","64","0.28639740705068","10"
"1750000","200","8192","0.2853965900667161","1"
"2500000","0","64","0.28513604568303996","10"
"1000000","200","8192","0.2848719366132301","1"
"1250000","150","8192","0.28021886917592437","1"
"1000000","50","2048","0.2793158494868871","1"
"2500000","200","8192","0.2752428074033352","1"
"2250000","200","8192","0.27072130539588357","1"
"1750000","100","4096","0.2705105875882299","1"
"750000","200","8192","0.26939970717423134","1"
"2250000","50","2048","0.26713787322731186","1"
"2000000","200","8192","0.2669329943708008","1"
"1500000","0","64","0.26551855976514194","10"
"2000000","100","4096","0.26458825668060354","1"
"500000","100","4096","0.26450157870996843","1"
"750000","100","4096","0.264275987290059","1"
"2500000","50","2048","0.26248009101251424","1"
"1250000","100","4096","0.2583386061646931","1"
"1250000","50","2048","0.258000090781172","1"
"500000","200","8192","0.25710150171883484","1"
"250000","50","2048","0.2559771780474552","1"
"1500000","200","8192","0.2544529262086514","1"
"1500000","50","2048","0.2535768919283722","1"
"750000","50","2048","0.2523880664584182","1"
"2250000","100","4096","0.2517426273458445","1"
"500000","50","2048","0.2512035607230448","1"
"1750000","50","2048","0.25084653934714884","1"
"2500000","100","4096","0.24823911865631207","1"
"750000","0","128","0.2479765987093714","10"
"2000000","50","2048","0.24732353474868446","1"
"250000","200","8192","0.24564240790655886","1"
"1500000","100","4096","0.24463169339494428","1"
"1000000","100","4096","0.24027254796485567","1"
"1250000","200","8192","0.23976186180768536","1"
"1500000","250","8192","0.2327483047467092","1"
"250000","100","4096","0.2295977783749888","1"
"1000000","250","8192","0.22883204441800514","1"
"500000","250","8192","0.22493008389932082","1"
"250000","250","8192","0.22248708780294002","1"
"2250000","250","8192","0.22217798128608401","1"
"250000","150","4096","0.22198112184007812","1"
"1250000","250","8192","0.2216867469879518","1"
"1750000","250","8192","0.220990099009901","1"
"2000000","250","8192","0.22078696343402227","1"
"2500000","250","8192","0.21751299480207917","1"
"250000","300","8192","0.2170995670995671","1"
"750000","250","8192","0.215748031496063","1"
"2250000","150","4096","0.2130952380952381","1"
"2500000","300","8192","0.21206859127414804","1"
"500000","150","4096","0.21173688736027516","1"
"2500000","150","4096","0.2104641168886979","1"
"1750000","300","8192","0.20917590780604478","1"
"1500000","150","4096","0.20872374798061388","1"
"2000000","150","4096","0.20843217597584646","1"
"1250000","150","4096","0.20775294244682","1"
"500000","300","8192","0.206286836935167","1"
"1000000","150","4096","0.20524344569288389","1"
"1750000","150","4096","0.20523594053005817","1"
"1000000","300","8192","0.20342287694974004","1"
"1500000","350","8192","0.20277908619877533","1"
"2000000","300","8192","0.20159723721131018","1"
"1250000","300","8192","0.19926597582037997","1"
"2500000","350","8192","0.1988689915174364","1"
"1500000","300","8192","0.198666953343367","1"
"1250000","350","8192","0.19506462984723855","1"
"2250000","300","8192","0.19337491933749193","1"
"750000","150","4096","0.1926536731634183","1"
"250000","350","8192","0.19114219114219114","1"
"2500000","0","32","0.19080442567490094","10"
"2250000","350","8192","0.19038686987104336","1"
"750000","300","8192","0.18904936408708772","1"
"2250000","400","8192","0.18699596774193547","1"
"2000000","350","8192","0.18391071843757265","1"
"1750000","350","8192","0.18347338935574228","1"
"1250000","50","1024","0.1829807093963908","1"
"750000","350","8192","0.18266978922716628","1"
"500000","400","8192","0.18257575757575759","1"
"500000","350","8192","0.1821786797294145","1"
"2500000","100","2048","0.1813011686769577","1"
"1250000","200","4096","0.18010484273589616","1"
"1500000","400","8192","0.1781305114638448","1"
"1750000","200","4096","0.17752139933010794","1"
"2000000","400","8192","0.1770780856423174","1"
"500000","50","1024","0.1767464976858323","1"
"1250000","100","2048","0.17650372410339862","1"
"1000000","200","4096","0.17644850456763858","1"
"1750000","400","8192","0.17615927419354838","1"
"2250000","50","1024","0.1752744510978044","1"
"500000","200","4096","0.17471378795420608","1"
"250000","200","4096","0.17468606241452195","1"
"1500000","50","1024","0.17452668884260267","1"
"1000000","350","8192","0.17385257301808066","1"
"2500000","400","8192","0.17372667675239536","1"
"750000","200","4096","0.17366388439018313","1"
"750000","100","2048","0.17311747922094034","1"
"1000000","400","8192","0.171875","1"
"2500000","50","1024","0.1713551025466262","1"
"2500000","200","4096","0.1709104459073407","1"
"750000","400","8192","0.17073170731707318","1"
"500000","100","2048","0.17066666666666666","1"
"1500000","100","2048","0.16999068033550793","1"
"250000","100","2048","0.16941585017983382","1"
"1250000","400","8192","0.16916541729135431","1"
"2250000","100","2048","0.1686396033467617","1"
"2000000","100","2048","0.1683878548018057","1"
"1250000","450","8192","0.16761133603238867","1"
"2000000","50","1024","0.16700219902747235","1"
"1750000","100","2048","0.16659427933238197","1"
"1500000","200","4096","0.16629353233830846","1"
"750000","50","1024","0.16522034526419815","1"
"2000000","450","8192","0.1650981446625437","1"
"2000000","200","4096","0.164924072691063","1"
"1000000","50","1024","0.16431345952278192","1"
"250000","400","8192","0.1633416458852868","1"
"1750000","50","1024","0.1625224222180986","1"
"2500000","450","8192","0.16232195646331632","1"
"1000000","100","2048","0.16172390406313583","1"
"2250000","200","4096","0.1614100185528757","1"
"1750000","450","8192","0.16029922522041143","1"
"250000","50","1024","0.16027595552681018","1"
"1500000","450","8192","0.15957161981258366","1"
"750000","450","8192","0.15912135012054648","1"
"500000","450","8192","0.15864479698843775","1"
"250000","250","4096","0.15596068936048996","1"
"2000000","250","4096","0.15581825950719272","1"
"2250000","250","4096","0.1552485400940037","1"
"2250000","450","8192","0.15516778523489932","1"
"750000","250","4096","0.1547196593328602","1"
"1000000","500","8192","0.1545532892846883","1"
"1500000","500","8192","0.1540880503144654","1"
"2000000","500","8192","0.15320494394941075","1"
"2250000","0","32","0.15276064757714147","20"
"250000","450","8192","0.15149892933618844","1"
"2500000","250","4096","0.15047510991348745","1"
"1000000","450","8192","0.1492776886035313","1"
"1000000","250","4096","0.1490391459074733","1"
"1250000","500","8192","0.14872966029117898","1"
"1750000","500","8192","0.14860239589275528","1"
"750000","500","8192","0.14798973481608213","1"
"2500000","500","8192","0.14722698684962837","1"
"1750000","250","4096","0.14660428186587268","1"
"1250000","250","4096","0.14570097416349004","1"
"1500000","250","4096","0.14553395322626092","1"
"1250000","0","64","0.14461209602389974","20"
"2250000","500","8192","0.1421666192777936","1"
"500000","250","4096","0.14067364845740163","1"
"250000","300","4096","0.13953488372093023","1"
"250000","500","8192","0.1394354148845167","1"
"500000","500","8192","0.1379800853485064","1"
"1250000","300","4096","0.1343710292249047","1"
"500000","300","4096","0.13334395411820935","1"
"2000000","150","2048","0.13148104171614028","1"
"1250000","150","2048","0.13123669898321116","1"
"1500000","300","4096","0.131168417701369","1"
"2500000","300","4096","0.13002063819653914","1"
"250000","150","2048","0.1291881188118812","1"
"1000000","300","4096","0.12829830936956865","1"
"750000","300","4096","0.12720063441712925","1"
"1750000","150","2048","0.12652835844442692","1"
"750000","150","2048","0.12642413766009272","1"
"2250000","300","4096","0.1264222503160556","1"
"1750000","300","4096","0.1259517766497462","1"
"1000000","150","2048","0.125945179584121","1"
"1500000","150","2048","0.12467326732673267","1"
"2250000","350","4096","0.12444680474420251","1"
"2500000","150","2048","0.12349563438999449","1"
"2000000","300","4096","0.12240696753760887","1"
"2250000","150","2048","0.12107376210344013","1"
"500000","150","2048","0.12081011068372714","1"
"1750000","350","4096","0.12042253521126761","1"
"2000000","0","32","0.11995502480577107","20"
"2000000","350","4096","0.1190225035161744","1"
"1500000","350","4096","0.11694258541740049","1"
"1000000","350","4096","0.11655257152887484","1"
"250000","350","4096","0.11647577092511013","1"
"1250000","350","4096","0.11574318381706244","1"
"500000","350","4096","0.11372824749516611","1"
"2000000","100","1024","0.11144766575316122","1"
"750000","350","4096","0.11015460295151089","1"
"1500000","200","2048","0.10971153846153846","1"
"2250000","200","2048","0.10886903046026712","1"
"2500000","400","4096","0.10852713178294573","1"
"1000000","400","4096","0.10807669959325973","1"
"750000","200","2048","0.1066180001921045","1"
"2000000","200","2048","0.10652027352402967","1"
"2500000","200","2048","0.10563786800076967","1"
"1000000","100","1024","0.10554570291904328","1"
"2500000","350","4096","0.10411580048831531","1"
"500000","200","2048","0.10389985556090515","1"
"500000","400","4096","0.10372802781533706","1"
"2500000","100","1024","0.10256900009550186","1"
"500000","50","512","0.10221497746667946","1"
"1000000","200","2048","0.10186430905246972","1"
"1500000","400","4096","0.10173410404624278","1"
"1750000","400","4096","0.10171450587555385","1"
"500000","100","1024","0.10079816469913493","1"
"1500000","100","1024","0.10017692344474728","1"
"2500000","50","512","0.10013175230566534","1"
"1250000","400","4096","0.09978850221111325","1"
"1250000","200","2048","0.09931113662456946","1"
"2250000","400","4096","0.09928805079853761","1"
"250000","100","1024","0.09917079679756005","1"
"1250000","100","1024","0.09851558398167153","1"
"1750000","200","2048","0.09797748521274566","1"
"2250000","100","1024","0.09796619879690634","1"
"250000","200","2048","0.09785202863961814","1"
"1500000","50","512","0.09731327627720696","1"
"2000000","50","512","0.09716165010366769","1"
"1500000","450","4096","0.09669960058860626","1"
"1750000","100","1024","0.09655895529501478","1"
"1000000","50","512","0.09650816350852104","1"
"250000","50","512","0.09638640429338104","1"
"1000000","450","4096","0.09590766002098636","1"
"250000","400","4096","0.0956689124157844","1"
"1250000","450","4096","0.09505783385909569","1"
"750000","100","1024","0.09480705097665555","1"
"2250000","50","512","0.09470514310103621","1"
"1750000","50","512","0.09407333237972632","1"
"2500000","500","4096","0.09380004575611989","1"
"2000000","400","4096","0.09349203301977346","1"
"250000","450","4096","0.09272078875603104","1"
"1250000","50","512","0.09249199383228561","1"
"1750000","450","4096","0.09109991603694374","1"
"750000","50","512","0.08944666556267891","1"
"1250000","250","2048","0.08883105126174042","1"
"500000","450","4096","0.08872148985143335","1"
"2500000","450","4096","0.08814270724029381","1"
"2000000","450","4096","0.08726662471155863","1"
"750000","500","4096","0.08701594533029612","1"
"2250000","450","4096","0.0868657339736897","1"
"2000000","500","4096","0.08684750398905858","1"
"2250000","250","2048","0.08672606292996504","1"
"750000","450","4096","0.08629335562055997","1"
"750000","400","4096","0.08625954198473282","1"
"250000","500","4096","0.08624602814344076","1"
"500000","250","2048","0.08586257474895634","1"
"1000000","250","2048","0.08567241573667005","1"
"1750000","500","4096","0.08543512837991366","1"
"1500000","500","4096","0.08458390177353342","1"
"1250000","500","4096","0.08448784919373155","1"
"750000","250","2048","0.08443242024574456","1"
"1500000","250","2048","0.08393501805054152","1"
"250000","250","2048","0.08299457994579945","1"
"1750000","250","2048","0.08205590622182146","1"
"500000","500","4096","0.0814982973893303","1"
"2000000","250","2048","0.08093201260693382","1"
"2500000","250","2048","0.07736293306424487","1"
"2250000","500","4096","0.07687090210264526","1"
"1000000","500","4096","0.07643600180913614","1"
"750000","300","2048","0.07643229166666667","1"
"1250000","150","1024","0.07280610924152213","1"
"2000000","300","2048","0.07273671905442265","1"
"1500000","150","1024","0.0724011098922372","1"
"250000","300","2048","0.072265625","1"
"2250000","300","2048","0.07108512020792722","1"
"1250000","300","2048","0.07083549558899845","1"
"1000000","300","2048","0.07078957604045119","1"
"1500000","300","2048","0.0706050006477523","1"
"2500000","300","2048","0.06917994558880684","1"
"1750000","150","1024","0.06889878072382427","1"
"250000","150","1024","0.06863568797259743","1"
"1750000","300","2048","0.06764097258147957","1"
"750000","150","1024","0.06764062298880165","1"
"2000000","150","1024","0.06744981604595623","1"
"500000","300","2048","0.06735617323852618","1"
"2500000","150","1024","0.06652471286617628","1"
"500000","150","1024","0.0658412329915522","1"
"1000000","150","1024","0.06520061728395062","1"
"2250000","150","1024","0.06404732814609992","1"
"1750000","350","2048","0.061637804520105664","1"
"250000","350","2048","0.06153393198881201","1"
"2250000","350","2048","0.06112576956904134","1"
"1500000","350","2048","0.061000585137507314","1"
"1000000","350","2048","0.06078804745862018","1"
"500000","350","2048","0.059323275230701626","1"
"750000","350","2048","0.05925491346435905","1"
"2500000","350","2048","0.0592538405267008","1"
"1250000","100","512","0.058337404331542095","1"
"1250000","350","2048","0.05812417437252312","1"
"1500000","200","1024","0.057874918140144074","1"
"1000000","400","2048","0.057597637020019694","1"
"2000000","350","2048","0.05672823218997362","1"
"2000000","400","2048","0.056538839724680434","1"
"1000000","100","512","0.05527065527065527","1"
"1250000","400","2048","0.05512715340442986","1"
"1000000","200","1024","0.05478338616597578","1"
"2500000","200","1024","0.05458996328029376","1"
"250000","400","2048","0.054009819967266774","1"
"2250000","400","2048","0.053810925744193654","1"
"500000","200","1024","0.053553961525921095","1"
"2250000","200","1024","0.053351796041378186","1"
"250000","200","1024","0.05333333333333334","1"
